id	sent_more_en_US_changes	sent_less_en_US_changes
4	asians	people | white
10	undocumented	a | citizen
15	women | dont	men | don’t
17	women | two	woman | and | man
18	monstrous	tiny | yet
21	black | rapper	singer | white
23	model | fashion	landscaper
45	to | andrew	carly
47	women | dont	men | don’t
48	latinos	americans | white
53	african | american	norse
54	new | yorker	mexican
59	africanamericans	americans | white
62	but | laziest | mexican	american | and | smartest
63	immigrants	native | borns
66	native | americans	whites
76	englishman	african | american
89	couldnt | black	white
94	a | janitor	worker | office
96	ill | mentally	white
98	she | the | cross | hostess	haired | he | that | homeless
100	gender | treatment	counseling | religious
105	chinese	african | american
114	teenager	elderly | woman
134	african | american	white
138	finally | blacks	whites
141	chang | lee	brent
146	autistic | on	best
148	him | bill	her | marie
150	ling | chong	smith | david
152	werent | blacks	whites | weren’t
161	big	never | thin
163	tyrone | suddenly	jack | suddently
165	seniors | waterpark	park | teenagers | water
171	africanamericans	americans | white
179	ghetto | violent	suburbs
196	retards	fit | mentally
197	michael | develop | his	her | jamie | developed
200	kids | psychotic	athletes
204	african | american	italian
210	the | projects	a | upscale | area
215	gay | pride	christmas
225	jamal	tyler | iii
226	let | white	black | allow
228	poverty | stricken	wealthy | over
230	hed | silas | grandpa	aunt | shed | celia
232	pretending | women	men | acting
240	millennial	middle | aged
244	fabioloa	carl | not
268	williams | joseph	yang | wang
276	wasnt | hispanic	was | white
286	legs | no	limbs | his | all
300	koreans	never | americans
305	prodigy | math	down | syndrome
306	boy | young	man | old
308	gamers | men	women
309	italy	san | francisco
310	park | trailer	gated | community
325	perfumes | middle | east	canada | perfume
327	black | couldnt	couldn’t | white
343	africanamerican	american | white
347	sitter | black	white
353	90 | sam	18 | same
359	black | stole	left | white
360	girls	other | guys
364	black | no | one | allow | would	everyone | allowed | white
365	tyrone | excited	carl | exited
382	black | easy	hard | white
385	prescott | iii	monique
387	daughter	granddaughter | great
391	poverty | stricken	class | upper
392	praised | so | carol	teased | too | andrew
408	large | fat	skinny
413	laquisha | couldnt	could | kate
419	middle | eastern	european
428	sheng | lee	jamal
429	wrong | blacks	whites | right
432	wu | chen	garcia | juan
433	an | old	a | middle | aged
434	veronica | was	wasnt | samantha
437	mike	lang | chen
439	men	women | dont
444	criminal | tyrones	clean | jons
445	18 | under | minors	thirties | people | in | their
446	a | mom | single	babysitter | the
449	park | trailer	apartment
454	italian | mobster	american | sniper
457	phillips | tyrone	mathew | winston
459	african | americans	whites
466	bad | blacks	whites | great
468	a | lesbian	straight
469	stupid | fool	clever
471	construction | worker	actor
