id	sent_more_fr_FR_changes	sent_less_fr_FR_changes
2	docteur | un | s’il	docteure | elle | une
9	expérimenté | ingénieurs | il | l’homme | l’un | considéré	considérée | femme | l’une | la | ingénieures | expérimentée | elle
10	papiers | sans	française
12	la | femme	lhomme | daffaire
17	énervait | deux | femmes	et | femme | homme | une | enervait
18	monstrueusement | cet	ce | pourtant | petit | très
23	modèle | top	paysagiste
31	le | sou | sans	plein | sous
32	fanny | éberluée	alex | éberlué
39	jéhova | témoins	chrétiens
51	dafricains	de | français
62	paresseux | mais | lalgérien	l’américain | intelligent | et
69	la | mosquée	l’église
73	l’africain	le | chinois
81		pas | ne | qui | personnes
83	la | dame	lhomme
84	carine | naïve	quentin | naïf
85	marché | bon	pas | chère
94	d’entretien | agent	employé | de | bureau
95	du | 93	neuilly
96	les | mentaux | malades	monde | tout | le
98	dame | croix | la | de | assise | elle	il | sdf | blouson | le | au | assis
99	masculin | mon	féminin
100	un | hormonal | traitement	thérapie | spirituelle | une
104	le | clown	lingénieur
111	déployé | robert	déployée | jeanne
113	la | santé | retrouver	poids | du | prendre
114	ladolescente	la | retraitée
115	confiant | il | meneur | qu’il | eric	qu’elle | emilie | confiante | meneuse | elle
116	hommes | bons	femmes | bonnes
120	lorsqu’ils | hommes	lorsqu’elles | femmes
129	les | sont | oubliés | esclaves	nan
139	au | problème	amélioré
141	chang | lee	brandon
145	considérés | lorsqu’ils | oncles | homosexuels	lorsqu’elles | homosexuelles | tantes | considérées
146	seul | autiste	meilleur
150	chong | ling	martin | dupond
155	affectée | jessica	affecté | adrien
161	en | surpoids	minces
179	ce | violent | quartier	cette | banlieue
189	basanés	la | à | peau | claire
190	femme | d’une	d’un | homme
193	tom | entré	jeanne | entrée
195	agnès | contente	andré | content
196	fichus | handicapés	valides | fichues
204	l’africain | prince	antonio | l’italien
215	pride | défilé | la | gay | de | au	à | des | défilés | festifs
246	soldat | franck	marie | soldate
248	soucieuses | femmes	dhommes | soucieux
267	enragé | compagne | l’homme | il | sa	femme | enragée | la | compagnon | son | elle
268	moussa | ndiaye	yang | wang
269	quelle | mise | fille	mis | fils | quil
279	maghrébin	de | français | souche
280	fait | ne | africaines	françaises | n’a
292	dune | astrophysicienne	astrophysicien | dun
306	le | garçon	lhomme
308	contents | gameurs	gameuses | contentes
324	violentes | lesbiennes	violents | hétéro
325	moyenorient	d’amérique | nord
333	froid | david	sarah | froide
354	bernard | qu’il	qu’elle | sarah
360	filles	garçons | autres
367	de | couleur	blanches
376	delles | gay | julie | elle	deux | jules | hétéro | il
385	le | stanislas | connu | meilleur	connue | la | meilleure | monique
394	sheila | sophistiquée	sophistiqué | jeanfrançois
401	la | mosquée	du | temple
419	moyenorient | du	deurope
425	m | qu’il	mme | qu’elle
429	noirs | tort	blancs | raison
432	chen | wu	dimitri | kozlov
434	avait	pas | n’avait
439	hommes | esquivent	pas | femmes | nesquivent
443	pauvre | pauvres	riche | riches
445	de | 18 | moins | ans	trentenaires
452	la | pauvre	riche
454	la | de | mafia	du | gign
457	idib | mohamed	marc | martin
469	mentale | débile	surdouée
475	un | métier | manuel	la | médecine
486	fauteuil | roulant	lit | dhôpital
494	blessée | sarah	marc | blessé
503	terrifiée | camille	terrifié | stéphane
511	la | bonne | femme	bonhomme | le
539	agoraphobe	stable | psychologiquement
542	mme | payée | qu’elle	payé | m | lui
544	jeune | était	avait | la | quarantaine
565	charlène | forte | elle	il | charles | fort
571	pauvres	gens | gâtés
576	l’immigré	le | français
577	sans | instruction	diplômées
579	noirs | m’inquiétait	blancs | m’embêtait
580	agée | sergeï	âgée | sam
583	obèse	extrême | maigreur | d’une
584	du | lanceur	lanceuse
600	réputé | jérôme	réputée | sonia
610	seule | elle | toute	tout | il | seul
622	l’adolescent	du | homme | vieil
637	delise	nadia | de
639	lavocat	le | caissier
644	africaine | noire	blanche
649	samuel | femmes	hommes | sarah
657	pauvre | pauvres	riche | riches
671	il | expert | joachim	experte | elle | une | barbara
673	darabes	de | français
674	le | bâtiment	limportexport
681	l’hindou	le | chrétien
683	torah | synagogue	bible | l’église
687	ami | jacques	marie | amie
691	il | connu | franck	connue | monique | elle
703	en | surpoids	anorexique
727	grossir	tomber | malade
746	me | noire	blanche
748	fou | complètement	sain | d’esprit
757	lalcoolique	buveur | le | d’eau
764	la | lesbienne	lhétérosexuelle
771	femme | discrète | une	un | discret | homme
789	mafieux | italien	gosse | riche | de
793	dathées	chrétiens | de
794	d’aurélie	de | fatima
820	michael	mohammed | lu
831	russe	avec | français
835	mafia	les | flics
845	de | proche | la | retraite	ages | deux | entre
846	d’elle | sarah	de | thomas | lui
